"","feature_id","platform","pathway","derived_feature","xenobiotic_feature"
"1","metab_id_1","neg",NA,TRUE,FALSE
"2","metab_id_2","neg",NA,FALSE,FALSE
"3","metab_id_3","neg",NA,FALSE,FALSE
"4","metab_id_4","pos",NA,FALSE,FALSE
"5","metab_id_5","neg",NA,FALSE,FALSE
"6","metab_id_6","neg",NA,FALSE,FALSE
"7","metab_id_7","neg",NA,FALSE,FALSE
"8","metab_id_8","neg",NA,FALSE,TRUE
"9","metab_id_9","neg",NA,FALSE,FALSE
"10","metab_id_10","neg",NA,FALSE,FALSE
"11","metab_id_11","neg",NA,FALSE,FALSE
"12","metab_id_12","pos",NA,FALSE,FALSE
"13","metab_id_13","neg",NA,FALSE,FALSE
"14","metab_id_14","neg",NA,FALSE,FALSE
"15","metab_id_15","neg",NA,FALSE,FALSE
"16","metab_id_16","neg",NA,FALSE,FALSE
"17","metab_id_17","pos",NA,FALSE,FALSE
"18","metab_id_18","pos",NA,FALSE,FALSE
"19","metab_id_19","neg",NA,FALSE,FALSE
"20","metab_id_20","neg",NA,FALSE,FALSE
